iter	RMSE
0	14.76213752
1	14.37926531
2	13.99805589
3	13.62411828
4	13.26677409
5	12.95488094
6	12.63850707
7	12.36231894
8	12.10687001
9	11.81303637
10	11.51506405
11	11.28072507
12	11.0357062
13	10.79528351
14	10.55224056
15	10.32446508
16	10.11348805
17	9.903164401
18	9.693866424
19	9.496695207
20	9.341205487
21	9.170756676
22	8.989471038
23	8.821646019
24	8.676926389
25	8.544500098
26	8.399732924
27	8.27307223
28	8.140066045
29	8.020748342
30	7.899006775
31	7.778758734
32	7.667530774
33	7.561208024
34	7.457876677
35	7.373339819
36	7.280528689
37	7.210461708
38	7.124568774
39	7.041869987
40	6.970397677
41	6.909940149
42	6.833958033
43	6.775319978
44	6.714618727
45	6.657440916
46	6.600660584
47	6.547991916
48	6.49156208
49	6.4386772
50	6.392245018
51	6.347058708
52	6.301813323
53	6.257967688
54	6.216821134
55	6.17363318
56	6.135945494
57	6.100794703
58	6.069234131
59	6.036119621
60	6.004344851
61	5.97331787
62	5.936542099
63	5.902982855
64	5.871981226
65	5.847766924
66	5.819983364
67	5.788857006
68	5.772678015
69	5.75266585
70	5.730844862
71	5.710601125
72	5.687455018
73	5.664438568
74	5.642421661
75	5.626410194
76	5.608106065
77	5.59725264
78	5.580457693
79	5.565946919
80	5.549315415
81	5.536293987
82	5.518754073
83	5.50107068
84	5.489993634
85	5.473588859
86	5.46064488
87	5.44855734
88	5.431188731
89	5.417181549
90	5.401125071
91	5.389631107
92	5.378637114
93	5.368316274
94	5.358433091
95	5.348678393
96	5.34011233
97	5.330806507
98	5.322722317
99	5.313693796
100	5.304379548
101	5.294936111
102	5.287956919
103	5.276308467
104	5.268253291
105	5.257916899
106	5.247800487
107	5.241690969
108	5.235520815
109	5.227888164
110	5.219641079
111	5.212850383
112	5.206929775
113	5.200187846
114	5.193266926
115	5.186863406
116	5.182040257
117	5.176206961
118	5.169915079
119	5.165037889
120	5.157908841
121	5.15206533
122	5.147408645
123	5.142104861
124	5.134237683
125	5.127615896
126	5.123858271
127	5.114742252
128	5.105168466
129	5.099954575
130	5.094997959
131	5.088148644
132	5.083086056
133	5.07730063
134	5.072665656
135	5.068733373
136	5.062815012
137	5.059176354
138	5.053212624
139	5.047865248
140	5.043309133
141	5.039452468
142	5.035511072
143	5.029524423
144	5.026691817
145	5.0247337
146	5.021218053
147	5.015699546
148	5.009462925
149	5.004711179
150	4.999373764
151	4.997414193
152	4.989465962
153	4.983468779
154	4.978797357
155	4.973486026
156	4.970954668
157	4.968071976
158	4.96599539
159	4.960022353
160	4.955496919
161	4.953106242
162	4.948187701
163	4.946105698
164	4.944578112
165	4.937799979
166	4.933858339
167	4.929242002
168	4.925625909
169	4.924731436
170	4.920585509
171	4.916636068
172	4.914631481
173	4.909930985
174	4.90399283
175	4.900780484
176	4.896700243
177	4.89429126
178	4.888933217
179	4.88713982
180	4.882677425
181	4.881414558
182	4.876658208
183	4.871924112
184	4.867489929
185	4.865823571
186	4.860144015
187	4.85636533
188	4.851133301
189	4.849465634
190	4.845747318
191	4.842519321
192	4.838674606
193	4.836930877
194	4.833057183
195	4.829894277
196	4.826173484
197	4.82203686
198	4.816252104
199	4.811055241
200	4.808148426
201	4.806946414
202	4.803972052
203	4.802321185
204	4.799607104
205	4.796463974
206	4.790956088
207	4.783796075
208	4.781262931
209	4.778216436
210	4.7735182
211	4.770663726
212	4.767507539
213	4.764742904
214	4.762361705
215	4.759956548
216	4.75623337
217	4.75239207
218	4.747436051
219	4.745707619
220	4.742302726
221	4.741104328
222	4.73885403
223	4.734026956
224	4.731686125
225	4.728017647
226	4.722107138
227	4.720097724
