iter	Passed	Remaining
0	134	133912
1	135	67406
2	136	45222
3	136	34085
4	137	27398
5	138	22957
6	139	19784
7	140	17411
8	141	15548
9	142	14060
10	142	12845
11	143	11826
12	144	10968
13	145	10230
14	146	9590
15	146	9030
16	147	8544
17	148	8104
18	149	7718
19	150	7368
20	151	7050
21	152	6762
22	152	6498
23	153	6255
24	154	6034
25	155	5827
26	156	5644
27	157	5474
28	158	5307
29	159	5151
30	160	5009
31	161	4873
32	162	4747
33	162	4628
34	163	4515
35	164	4406
36	165	4308
37	166	4211
38	167	4119
39	167	4030
40	168	3949
41	169	3870
42	170	3794
43	171	3721
44	172	3652
45	173	3589
46	174	3537
47	175	3477
48	176	3418
49	176	3361
50	177	3306
51	178	3252
52	179	3204
53	180	3159
54	181	3114
55	182	3072
56	183	3031
57	183	2988
58	184	2947
59	185	2910
60	186	2872
61	187	2838
62	188	2804
63	189	2773
64	190	2741
65	191	2709
66	192	2678
67	193	2646
68	194	2617
69	194	2590
70	195	2563
71	196	2536
72	197	2510
73	198	2487
74	199	2461
75	200	2436
76	201	2411
77	202	2388
78	202	2366
79	203	2344
80	204	2321
81	205	2300
82	205	2275
83	206	2256
84	207	2237
85	208	2218
86	209	2198
87	210	2181
88	211	2163
89	212	2146
90	213	2130
91	214	2114
92	215	2099
93	216	2084
94	217	2069
95	218	2054
96	219	2038
97	219	2024
98	220	2010
99	221	1997
100	222	1984
101	223	1971
102	225	1960
103	226	1947
104	227	1935
105	228	1923
106	229	1911
107	229	1899
108	230	1887
109	231	1876
110	232	1864
111	233	1853
112	234	1842
113	235	1832
114	236	1820
115	237	1811
116	238	1801
117	239	1791
118	240	1780
119	241	1770
120	242	1761
121	243	1750
122	244	1742
123	245	1733
124	246	1724
125	247	1717
126	248	1707
127	249	1700
128	250	1694
129	252	1687
130	253	1679
131	254	1672
132	255	1665
133	256	1657
134	257	1649
135	258	1642
136	259	1635
137	260	1627
138	261	1619
139	262	1614
140	264	1608
141	264	1599
142	265	1592
143	266	1585
144	267	1578
145	268	1571
146	269	1566
147	270	1559
148	271	1553
149	272	1546
150	273	1540
151	275	1534
152	276	1528
153	277	1522
154	278	1516
155	279	1510
156	280	1503
157	280	1496
158	281	1491
159	282	1485
160	283	1477
161	284	1471
162	285	1465
163	286	1459
164	287	1453
165	288	1447
166	289	1442
167	290	1436
168	290	1430
169	291	1424
170	292	1418
171	293	1412
172	294	1408
173	295	1402
174	296	1397
175	297	1392
176	298	1387
177	299	1382
178	300	1377
179	301	1372
180	302	1366
181	302	1361
182	303	1356
183	304	1352
184	306	1348
185	307	1344
186	308	1340
187	309	1335
188	310	1330
189	311	1325
190	311	1320
191	312	1316
192	313	1311
193	314	1307
194	315	1303
195	316	1298
196	317	1294
197	318	1290
198	319	1286
199	320	1282
200	321	1278
201	322	1273
202	323	1269
203	324	1265
204	325	1261
205	326	1256
206	326	1252
207	327	1248
208	329	1245
209	329	1240
210	330	1236
211	331	1232
212	332	1229
213	333	1225
214	334	1221
215	335	1218
216	336	1214
217	337	1211
218	338	1207
219	339	1204
220	340	1200
221	341	1197
222	342	1194
223	344	1191
224	345	1189
225	346	1186
226	347	1183
227	348	1181
228	350	1178
229	351	1175
230	352	1173
231	353	1170
232	354	1168
233	355	1165
234	357	1162
235	358	1159
236	359	1157
237	360	1153
238	361	1150
239	362	1148
240	363	1145
241	365	1143
242	366	1140
243	367	1137
244	368	1135
245	369	1131
246	370	1129
247	371	1126
248	372	1123
249	373	1120
250	374	1117
251	375	1114
252	376	1112
253	377	1109
254	378	1106
255	379	1103
256	380	1100
257	381	1098
258	382	1095
259	384	1093
260	385	1090
261	386	1087
262	387	1084
263	388	1081
264	389	1079
265	390	1076
266	391	1073
267	392	1070
268	393	1068
269	394	1065
270	395	1063
271	396	1060
272	397	1057
273	398	1054
274	398	1051
275	399	1048
276	400	1046
277	402	1044
278	403	1041
279	404	1039
280	405	1036
281	405	1033
282	406	1030
283	407	1028
284	408	1025
285	409	1023
286	410	1020
287	411	1017
288	412	1015
289	413	1013
290	414	1010
291	415	1008
292	416	1005
293	417	1002
294	418	1000
295	419	997
296	420	995
297	421	992
298	422	990
299	423	987
300	424	985
301	425	983
302	426	981
303	427	979
304	428	976
305	429	974
306	430	971
307	431	969
308	432	967
309	433	965
310	434	963
311	435	960
312	436	958
313	437	956
314	438	954
315	440	952
316	441	950
317	442	948
318	443	946
319	444	944
320	445	942
321	447	941
322	448	939
323	449	937
324	450	935
325	451	933
326	452	930
327	453	928
328	454	926
329	455	924
330	456	922
331	457	920
332	458	918
333	459	916
334	460	914
335	461	912
336	462	910
337	463	908
338	465	906
339	466	904
340	466	902
341	468	900
342	468	898
343	469	896
